S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
9,KAVINDRA PANDIT,Socialist Unity Centre Of India (COMMUNIST),5226,20,5246,0.52
10,UMAKANT YADAV,Independent,4932,9,4941,0.49
11,NOTA,None of the Above,34808,81,34889,3.44
1,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),547814,2332,550146,48.3
2,KUMARI ANITA,Rashtriya Janata Dal,467412,1864,469276,41.2
3,SHANKAR PRASAD BIND,Independent,21016,7,21023,1.85
4,PRIYADARSHI PIYUSH,Independent,15718,13,15731,1.38
5,A. K. SINGH ‘ASHOK’,Independent,13809,16,13825,1.21
6,KUMAR NAVNEET HIMANSHU,Bahujan Samaj Party,12143,137,12280,1.08
7,KULDIP YADAV,Hindustan People's Party (Democratic),9455,31,9486,0.83
8,NEETISH KUMAR,Independent,7470,37,7507,0.66
9,PRAVAL KUMAR,Independent,5366,9,5375,0.47
10,RAVINDRA MANDAL,Socialist Unity Centre Of India (COMMUNIST),4893,20,4913,0.43
11,ADITYA SINGH MADHUKAR,Independent,4124,16,4140,0.36
12,PANKAJ KUMAR,Independent,3410,18,3428,0.3
13,NOTA,None of the Above,21920,31,21951,1.93
1,KAUSHALENDRA KUMAR,Janata Dal (United),557054,2368,559422,48.88
2,DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),388052,2256,390308,34.11
3,SUDHIR KUMAR,Sanyukt Kisan Vikas Party,25286,5,25291,2.21
4,SURENDRA PRASAD,Al-Hind Party,18571,5,18576,1.62
5,SHASHI KUMAR,Samaj Shakti Party,18472,8,18480,1.61
6,PRAMOD KUMAR NIRALA,Bahujan Samaj Party,15233,99,15332,1.34
7,AJEET KUMAR,Independent,14746,4,14750,1.29
8,VINAY PRATAP SINGH,Rashtriya Sanatan Party,9593,9,9602,0.84
9,SANJAY RAJESH,Karpoori Janta Dal,7878,9,7887,0.69
10,SUDHIR DAS,Independent,6804,2,6806,0.59
11,KANHAIYA LAL YADAV,Jagrook Janta Party,6665,27,6692,0.58
12,SANYUKTA KUMARI,Independent,6232,6,6238,0.55
13,AJIT KUMAR,Independent,5515,5,5520,0.48
14,SHYAM SUNDAR PRASAD,Independent,3922,10,3932,0.34
15,RAMESH KUMAR,Naki Bharatiya Ekta Party,3840,5,3845,0.34
16,KISLAY KUMAR,Independent,3599,3,3602,0.31
17,KESHO JAMADAR,Peoples Party of India (Democratic),3369,18,3387,0.3
18,SURENDER SINGH,Independent,3341,4,3345,0.29
19,DILIP KUMAR,Moolniwasi Samaj Party,2724,5,2729,0.24
20,NAND KISHOR PARASAD,Pragatisheel Magahi Samaj,2456,12,2468,0.22
21,NISHA RANJAN,Samata Party,2397,18,2415,0.21
22,SHASHIRANJAN SUMAN,Independent,2331,9,2340,0.2
23,GHANSHYAM PRASAD SINGH,Independent,2108,2,2110,0.18
24,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,1971,9,1980,0.17
25,MUNNA KUMAR,Sankhyanupati Bhagidari Party,1937,12,1949,0.17
26,MUNNA KUMAR,Samajwadi Lok Parishad,1867,13,1880,0.16
27,PAWAN KUMAR,Independent,1595,2,1597,0.14
28,PUJA DEVI,Independent,1491,14,1505,0.13
29,CHANDRA KISHOR PRASAD YADAV,Independent,1177,1,1178,0.1
30,NOTA,None of the Above,19110,107,19217,1.68
1,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5
2,DR RAJESH KUMAR,Vikassheel Insaan Party,451118,2788,453906,42.28
3,MOHAMMAD AJMER ALAM,Independent,13030,17,13047,1.22
4,VIJAY KUMAR SAHANI,Rashtriya Jansambhavna Party,8158,27,8185,0.76
5,RAJESH SINGH,Independent,7176,6,7182,0.67
6,GYANTI DEVI,Prabuddha Republican Party,6963,45,7008,0.65
7,PAWAN KUMAR,Bhartiya Sarthak Party,4895,19,4914,0.46
8,MUNESHWAR TIWARI,Independent,4017,5,4022,0.37
9,RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,3930,4,3934,0.37
10,RAJESH KUMAR S/O VISHUN SAH,Independent,3489,3,3492,0.33
11,NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,3449,15,3464,0.32
12,NIKESH KUMAR,Independent,2539,14,2553,0.24
13,NOTA,None of the Above,19729,59,19788,1.84
1,RAVI SHANKAR PRASAD,Bharatiya Janata Party,587212,1058,588270,54.7
2,ANSHUL AVIJIT,Indian National Congress,433818,606,434424,40.39
3,RAKESH SHARMA,Independent,9942,1,9943,0.92
4,NEERAJ KUMAR,Bahujan Samaj Party,5912,16,5928,0.55
5,AWADHESH PRASAD,Independent,4973,1,4974,0.46
6,ENG UMESH RAJAK,Peoples Party of India (Democratic),4664,8,4672,0.43
7,SANJAY KUMAR URF SANJAY BALMIKI,Independent,4643,0,4643,0.43
8,DHARMVIR KUMAR BHASKAR,Independent,2415,1,2416,0.22
9,AMIT KUMAR ALBELA,Independent,2050,3,2053,0.19
10,MAHESH KUMAR,Samata Party,2003,0,2003,0.19
11,DHANJAY KUMAR,Rashtriya Jansambhavna Party,1969,2,1971,0.18
12,GULAB PRASAD,Loktantrik Samajwadi Party,1923,2,1925,0.18
13,SUMIT RANJAN SINHA,Akhand Bharat Janpriya Party,1715,1,1716,0.16
14,MAHBOOB ALAM ANSARI,Bharatiya Momin Front,1635,3,1638,0.15
15,DR RAKESH DUTTA MISHRA,Bharatiya Jan Kranti Dal (Democratic),1238,2,1240,0.12
16,SAROJ KUMAR SUMAN,Socialist Unity Centre Of India (COMMUNIST),1078,0,1078,0.1
17,SHAHID ALAM,Jantantra Awaj Party,1040,3,1043,0.1
18,NOTA,None of the Above,5532,27,5559,0.52
1,MISHA BHARTI,Rashtriya Janata Dal,612147,1136,613283,49.86
2,RAM KRIPAL YADAV,Bharatiya Janata Party,526608,1501,528109,42.93
3,DR S P SHARMA,Hindustan Vikas Dal,15139,1,15140,1.23
4,HARIKESHWAR RAM,Bahujan Samaj Party,10931,34,10965,0.89
5,VINDU DEVI,Rashtriya Jansambhavna Party,10741,3,10744,0.87
6,SHIV KUMAR SINGH,Apna Kisan Party,9011,5,9016,0.73
7,SANJAY KUMAR SINGH,Bhartiya Sarthak Party,4753,0,4753,0.39
8,MD FAROOQUE RAZA,All India Majlis-E-Ittehadul Muslimeen,4010,13,4023,0.33
9,RAM NIRANJAN ROY,Rashtrawadi Chetna Party,3914,1,3915,0.32
10,MRITUNJAY KUMAR,Bhagidari Party(P),3483,0,3483,0.28
11,DURGESH NANDAN SINGH,Independent,3104,2,3106,0.25
12,NAGESHWAR PRASAD,Peoples Party of India (Democratic),2048,3,2051,0.17
13,SUBHASH KUMAR,Bhartiya Lok Chetna Party,1979,0,1979,0.16
14,NITESH KUMAR PATEL,Adarsh Jankalyan Dal,1816,1,1817,0.15
15,RANJAN KUMAR,Independent,1807,2,1809,0.15
16,NIRAJ KUMAR,Independent,1767,4,1771,0.14
17,KUNAL KUMAR,Hamara Sahara Party,1607,7,1614,0.13
18,KHUSHBOO KUMARI,Akhil Bhartiya Parivar Party,1479,4,1483,0.12
19,ANIL DAS,Bhartiya Dalit Party,1465,4,1469,0.12
20,ANIL KUMAR CHAND,Socialist Unity Centre Of India (COMMUNIST),1421,3,1424,0.12
21,MADHURI KUMARI,All India Forward Bloc,1301,1,1302,0.11
22,JAWAHAR SINGH,Bhartiya Manavta Party,1235,2,1237,0.1
23,NOTA,None of the Above,5573,33,5606,0.46
1,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),526564,2818,529382,48.28
2,R. K. SINGH,Bharatiya Janata Party,464736,4838,469574,42.82
3,VIRENDRA KUMAR SINGH,Independent,23630,5,23635,2.16
4,SHIV DAS SINGH,Independent,13373,6,13379,1.22
5,LAL BADSAH SINGH,Bahujan Samaj Party,10631,195,10826,0.99
6,KRISHNA PASWAN,Bhartiya Kranti Vir Party,8709,40,8749,0.8
7,RANDHIR LAL,Independent,5765,1,5766,0.53
8,NAVNIT KUMAR,Independent,4764,9,4773,0.44
9,RAM SARE SINGH,Peoples Party of India (Democratic),2531,10,2541,0.23
10,DHARMATMA SHARMA,Socialist Unity Centre Of India (COMMUNIST),2449,18,2467,0.22
11,RAMJEE SINGH,Voters Party International,2435,5,2440,0.22
12,ASHOK TIWARY,Independent,2263,32,2295,0.21
13,MANMOHAN SINGH,Rashtrawadi Janlok Party (Satya),2055,42,2097,0.19
14,SUMITRA DEVI,Jagrook Janta Party,1640,34,1674,0.15
15,NOTA,None of the Above,16864,99,16963,1.55
1,SUDHAKAR SINGH,Rashtriya Janata Dal,435062,3283,438345,40.82
2,MITHILESH TIWARI,Bharatiya Janata Party,405795,2459,408254,38.02
3,ANIL KUMAR,Bahujan Samaj Party,114312,402,114714,10.68
4,ANAND MISHRA S/O- PARAM HANS MISHRA,Independent,46527,882,47409,4.42
5,DADAN YADAV,Independent,15653,183,15836,1.47
6,SUDHAKAR MISHRA,Independent,12742,7,12749,1.19
7,SUNIL KUMAR DUBY,Independent,7757,2,7759,0.72
8,RAM SWAROOP CHAUHAN,Independent,5506,10,5516,0.51
9,RAJU SINGH,Bahujan Mukti Party,4322,17,4339,0.4
10,AANAND MISRA S/O MADAN KUMAR MISRA,Independent,2697,137,2834,0.26
11,BHAGWAN SINGH YADAV,Independent,2045,8,2053,0.19
12,NIRANJAN KUMAR RAY,Independent,1667,2,1669,0.16
13,HEM LATA,Jagrook Janta Party,1554,16,1570,0.15
14,AKHILESH KUMAR PANDEY,Independent,1089,6,1095,0.1
15,NOTA,None of the Above,9572,45,9617,0.9
1,MANOJ KUMAR,Indian National Congress,509977,3027,513004,46.76
2,SHIVESH KUMAR,Bharatiya Janata Party,492177,1670,493847,45.01
3,SANTOSH KUMAR,Bahujan Samaj Party,45491,107,45598,4.16
4,SHIV SHANKAR RAM,Independent,8009,10,8019,0.73
5,SANTOSH KUMAR KHARWAR,Bhartiya Gandhiwadi Party,4817,5,4822,0.44
6,BANARSI DAS,Peoples Party of India (Democratic),4498,0,4498,0.41
7,AMIT KUMAR AMBEDKAR,Bahujan Mukti Party,2823,11,2834,0.26
8,PUNAM DEVI,Jantantra Awaj Party,2634,20,2654,0.24
9,UJARAN MUSAHAR,Jan Janwadi Party,2616,4,2620,0.24
10,NANDLAL RAM,Rashtriya Samaj Paksha,1956,4,1960,0.18
11,NOTA,None of the Above,17160,59,17219,1.57
1,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),378922,1659,380581,36.89
2,PAWAN SINGH,Independent,273546,1177,274723,26.63
3,UPENDRA KUSHWAHA,Rashtriya Lok Morcha,253088,788,253876,24.61
4,DHEERAJ KUMAR SINGH,Bahujan Samaj Party,23549,108,23657,2.29
5,RAJA RAM SINGH,Independent,21357,26,21383,2.07
6,PRIYANKA PRASAD CHOUDHARY,All India Majlis-E-Ittehadul Muslimeen,10983,23,11006,1.07
7,AJEET KUMAR SINGH,Peoples Party of India (Democratic),9634,19,9653,0.94
8,VIKASH VINAYAK,Jan Janwadi Party,7661,3,7664,0.74
9,INDRA RAJ ROUSHAN,Independent,6315,9,6324,0.61
10,PRADEEP KUMAR JOSHI,Rashtra Sewa Dal,5891,28,5919,0.57
11,AVADHESH PASAWAN,Bharatiya Aam Awam Party,5527,58,5585,0.54
12,RAJESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),5003,3,5006,0.49
13,PRAYAG PASWAN,Socialist Unity Centre Of India (COMMUNIST),4641,5,4646,0.45
14,NOTA,None of the Above,21548,47,21595,2.09
1,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88
2,CHANDESHWAR PRASAD,Janata Dal (United),299044,1400,300444,32.47
3,ARUN KUMAR,Bahujan Samaj Party,85696,684,86380,9.33
4,MINTA DEVI,Independent,16112,11,16123,1.74
5,MUNILAL YADAV,Independent,13021,8,13029,1.41
6,ASHUTOSH KUMAR,Rashtriya Jan Jan Party,12954,259,13213,1.43
7,DEEPAK KUMAR,Jagrook Janta Party,8944,26,8970,0.97
8,BUDDHADEV SAV,Independent,5765,8,5773,0.62
9,NARESH KUMAR,Independent,5709,3,5712,0.62
10,CHANDESHWAR PRASAD,Independent,5356,22,5378,0.58
11,PIYUSH SINGH,Shoshit Samaj Dal,4611,7,4618,0.5
12,RAJ KISHOR SHARMA,Bhartiya Sarthak Party,3230,13,3243,0.35
13,KAPIL CHAUHAN,Jan Janwadi Party,2954,10,2964,0.32
14,ASHUTOSH VINAY KUMAR,Rashtriya Garib Dal,2895,14,2909,0.31
15,UMA SHANKAR VERMA,Socialist Unity Centre Of India (COMMUNIST),2509,15,2524,0.27
16,NOTA,None of the Above,10960,95,11055,1.19
1,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22
2,SUSHIL KUMAR SINGH,Bharatiya Janata Party,384819,1637,386456,40.86
3,SUNESH KUMAR,Bahujan Samaj Party,20232,77,20309,2.15
4,PRATIBHA RANI,Peoples Party of India (Democratic),12265,43,12308,1.3
5,RAJ BALLABH SINGH,Independent,11150,9,11159,1.18
6,RAMJIT SINGH,Rashtriya Jansambhavna Party,9237,6,9243,0.98
7,SURESH PRASAD VERMA,Independent,6704,7,6711,0.71
8,MOHAMMAD WALIULLAH KHAN,Independent,6591,13,6604,0.7
9,SHAILESH RAHI,Akhil Hind Forward Bloc (Krantikari),4892,4,4896,0.52
10,NOTA,None of the Above,22566,61,22627,2.39
1,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),492732,2228,494960,51.36
2,KUMAR SARVJEET,Rashtriya Janata Dal,390469,2679,393148,40.8
3,SUSHMA KUMARI,Bahujan Samaj Party,12234,142,12376,1.28
4,DEVENDRA PRATAP,Independent,9209,2,9211,0.96
5,DHEERENDRA PRASAD,Loktantrik Samajwadi Party,5616,13,5629,0.58
6,GIRIDHAR SAPERA,The National Road Map Party of India,4708,19,4727,0.49
7,RANU KUMAR CHAUDHARY,Independent,4495,10,4505,0.47
8,RANJAN KUMAR,Independent,4233,1,4234,0.44
9,AYUSH KUMAR,Independent,4098,5,4103,0.43
10,SURENDRA MANJHI,Rashtriya Jansambhavna Party,3023,12,3035,0.31
11,AMRESH KUMAR,Independent,2800,21,2821,0.29
12,ASHOK KUMAR PASWAN,Independent,2692,9,2701,0.28
13,ARUN KUMAR,Independent,2531,23,2554,0.27
14,SHEO SHANKAR,Bhartiya Lok Chetna Party,2370,14,2384,0.25
15,NOTA,None of the Above,17177,111,17288,1.79
1,VIVEK THAKUR,Bharatiya Janata Party,408537,2071,410608,47.2
2,SHRAWAN KUMAR,Rashtriya Janata Dal,340562,2376,342938,39.42
3,BINOD YADAV,Independent,39391,128,39519,4.54
4,GUNJAN KUMAR,Independent,29444,238,29682,3.41
5,RANJIT KUMAR,Bahujan Samaj Party,16240,76,16316,1.88
6,ANAND KUMAR VERMA,Bharat Jan Jagran Dal,7727,9,7736,0.89
7,GAUTAM KUMAR BABLOO,Bhagidari Party(P),5886,3,5889,0.68
8,GANAURI PANDIT,Peoples Party of India (Democratic),4558,32,4590,0.53
9,NOTA,None of the Above,12555,37,12592,1.45
1,LOVELY ANAND,Janata Dal (United),475709,903,476612,45.15
2,RITU JAISWAL,Rashtriya Janata Dal,445482,1987,447469,42.39
3,AKHILESHWAR SHRIVAISHANV,Independent,29014,80,29094,2.76
4,KANHAIYA KUMAR,Independent,20585,7,20592,1.95
5,RANA RANJIT,All India Majlis-E-Ittehadul Muslimeen,11947,32,11979,1.13
6,SUDHIR KUMAR SINGH,Viro Ke Vir Indian Party,9096,6,9102,0.86
7,VIJENDRA THAKUR,Bahujan Samaj Party,8865,23,8888,0.84
8,UPENDRA SAHANI,Rashtriya Jansambhavna Party,6332,6,6338,0.6
9,MAMTA KUMARI,Samata Party,5431,4,5435,0.51
10,MOHAMMAD MAHTAB ALAM,Samaj Shakti Party,4867,4,4871,0.46
11,JAGDISH PRASAD,Bajjikanchal Vikas Party,2950,5,2955,0.28
12,DILIP KUMAR MISHRA,Prabal Bharat Party,2097,2,2099,0.2
13,NOTA,None of the Above,30130,38,30168,2.86
1,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),508179,867,509046,51.98
2,ARCHANA KUMARI,Rashtriya Janata Dal,395696,868,396564,40.5
3,SUBHASH PASWAN,Independent,13841,34,13875,1.42
4,SAKALDEO DAS,Bahujan Samaj Party,12313,53,12366,1.26
5,SRAWON KUMAR,Rashtriya Jansambhavna Party,8604,21,8625,0.88
6,JAGDISH PRASAD,Loktantrik Samajik Nyay Party,6532,10,6542,0.67
7,SANTOSH KUMAR DAS,Socialist Unity Centre Of India (COMMUNIST),6025,8,6033,0.62
8,NOTA,None of the Above,26148,34,26182,2.67
1,DEVESH CHANDRA THAKUR,Janata Dal (United),514940,779,515719,47.14
2,ARJUN RAY,Rashtriya Janata Dal,463107,1256,464363,42.45
3,SAIQUA NAWAZ AZMAT,Independent,28911,1,28912,2.64
4,SHYAM NANDAN KISHOR PRASAD,Independent,11173,15,11188,1.02
5,BHOLA SINGH,Bahujan Samaj Party,8773,37,8810,0.81
6,UPENDRA SAHANI,Rashtriya Jansambhavna Party,8446,8,8454,0.77
7,CHANDRIKA PRASAD,Independent,7109,5,7114,0.65
8,VINOD SAH,Independent,4477,4,4481,0.41
9,KRISHNA KISHORE,Independent,3280,0,3280,0.3
10,MUSHAHID RAZA,Desh Janhit Party,2190,2,2192,0.2
11,UMESH KUMAR YADAV,Independent,2126,2,2128,0.19
12,RAJENDRA MAHTO,Karpoori Janta Dal,1976,5,1981,0.18
13,ANAND KUMAR,Independent,1787,9,1796,0.16
14,ABDUL SAMAD,Independent,1439,2,1441,0.13
15,NOTA,None of the Above,32102,31,32133,2.94
1,ASHOK KUMAR YADAV,Bharatiya Janata Party,552705,723,553428,53.85
2,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,400909,574,401483,39.07
3,SHIV BODHAN SAHU,Independent,13365,5,13370,1.3
4,BIKASH KUMAR,Bahujan Samaj Party,7197,26,7223,0.7
5,PRIYE RANJAN,Independent,7046,4,7050,0.69
6,VAIDYANATH YADAV,Peoples Party of India (Democratic),4980,3,4983,0.48
7,SARFARAJ ALAM,Akhil Bhartiya Parivar Party,4620,3,4623,0.45
8,MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,4492,6,4498,0.44
9,MOHAN SHARMA,Rashtriya Jansambhavna Party,4460,4,4464,0.43
10,ABU BAKAR RAHMANI,Country Citizen Party,2095,2,2097,0.2
11,UDAY MANDAL,Samata Party,1998,9,2007,0.2
12,KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,1780,3,1783,0.17
13,NOTA,None of the Above,20691,28,20719,2.02
1,RAMPRIT MANDAL,Janata Dal (United),532138,894,533032,48.73
2,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,31.9
3,GULAB YADAV,Bahujan Samaj Party,73532,352,73884,6.76
4,RAM PRASAD RAUT,Independent,25993,17,26010,2.38
5,GANGA PRASAD YADAV,Independent,18064,10,18074,1.65
6,GAURI SHANKAR SAHU,Independent,14307,18,14325,1.31
7,RAJIV KUMAR JHA,Independent,12488,25,12513,1.14
8,BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,1.07
9,VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,0.99
10,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),8556,21,8577,0.78
11,NOTA,None of the Above,35846,82,35928,3.28
1,DILESHWAR KAMAIT,Janata Dal (United),592922,2116,595038,48.33
2,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,422037,3198,425235,34.54
3,BAIDYA NATH MEHTA,Independent,51325,327,51652,4.2
4,YOG NARAYAN SINGH,Independent,27447,7,27454,2.23
5,VINDESHWARI PRASAD,Independent,18450,7,18457,1.5
6,KIRAN DEVI,Bahujan Samaj Party,17961,118,18079,1.47
7,MOHD KALIM KHAN,Rashtriya Jansambhavna Party,14064,14,14078,1.14
8,UMESH PRASAD SAH,Jai Hind Party,12971,43,13014,1.06
9,RAJ KUMAR YADAV,Viro Ke Vir Indian Party,10795,11,10806,0.88
10,RAMESH KUMAR ANAND,"Proutist Bloc, India",9439,12,9451,0.77
11,ABDUL MATIN,Independent,7177,17,7194,0.58
12,BAMBAM KUMAR,Independent,7000,6,7006,0.57
13,NITISH KUMAR,Independent,5894,21,5915,0.48
14,AJAY KUMAR SAH,Independent,5330,21,5351,0.43
15,SHIV HARI AGRAWAL,Bharat Nirman Party,3770,2,3772,0.31
16,NOTA,None of the Above,18444,168,18612,1.51
1,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91
2,SHAHNAWAZ,Rashtriya Janata Dal,578904,1148,580052,46.31
3,SHATRUGHAN PRASAD SUMAN,Independent,13697,49,13746,1.1
4,MD GHOUSUL AZAM,Bahujan Samaj Party,12672,18,12690,1.01
5,MD. MOBINUL HAQUE,Independent,12005,3,12008,0.96
6,MD. ISMAIL,Bharatiya Momin Front,7353,1,7354,0.59
7,AKHILESH KUMAR,Independent,5086,34,5120,0.41
8,MUSHTAK ALAM,Independent,4897,2,4899,0.39
9,ZAWED AKHTAR,The National Road Map Party of India,3037,4,3041,0.24
10,NOTA,None of the Above,13438,66,13504,1.08
1,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579095,691,579786,52.97
2,SUNNY HAZARI,Indian National Congress,391558,977,392535,35.86
3,SHASHI BHUSHAN DAS,Independent,25953,4,25957,2.37
4,RAVI RAUSHAN KUMAR,Independent,16151,4,16155,1.48
5,RAM LAKHAN MAHTO,Bahujan Samaj Party,12698,34,12732,1.16
6,PINKU PASWAN,Rashtriya Jansambhavna Party,12426,11,12437,1.14
7,MUKESH CHAUPAL,Independent,5574,5,5579,0.51
8,JIBACHH KUMAR HAJARI,Independent,4686,8,4694,0.43
9,RATAN BIHARI,Desh Janhit Party,3411,8,3419,0.31
10,VIDYA NAND RAM,Wazib Adhikar Party,3110,2,3112,0.28
11,AMRITA KUMARI,Independent,2849,3,2852,0.26
12,LAL BABU MAHTO,Sathi Aur Aapka Faisala Party,2665,1,2666,0.24
13,NOTA,None of the Above,32645,23,32668,2.98
1,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579095,691,579786,52.97
2,SUNNY HAZARI,Indian National Congress,391558,977,392535,35.86
3,SHASHI BHUSHAN DAS,Independent,25953,4,25957,2.37
4,RAVI RAUSHAN KUMAR,Independent,16151,4,16155,1.48
5,RAM LAKHAN MAHTO,Bahujan Samaj Party,12698,34,12732,1.16
6,PINKU PASWAN,Rashtriya Jansambhavna Party,12426,11,12437,1.14
7,MUKESH CHAUPAL,Independent,5574,5,5579,0.51
8,JIBACHH KUMAR HAJARI,Independent,4686,8,4694,0.43
9,RATAN BIHARI,Desh Janhit Party,3411,8,3419,0.31
10,VIDYA NAND RAM,Wazib Adhikar Party,3110,2,3112,0.28
11,AMRITA KUMARI,Independent,2849,3,2852,0.26
12,LAL BABU MAHTO,Sathi Aur Aapka Faisala Party,2665,1,2666,0.24
13,NOTA,None of the Above,32645,23,32668,2.98
